instance,vertices,edges,partitions,status,colors,runtime_s,gap
ring_n10p0.1s1,8,11,4,optimal,2,0.009,0.0000
ring_n10p0.1s2,16,45,8,optimal,2,0.023,0.0000
ring_n10p0.1s3,16,44,8,optimal,2,0.022,0.0000
ring_n10p0.1s4,28,149,14,optimal,3,0.115,0.0000
ring_n10p0.1s5,20,69,10,optimal,3,0.038,0.0000
ring_n10p0.2s1,26,124,13,optimal,3,0.086,0.0000
ring_n10p0.2s2,36,230,18,optimal,3,0.301,0.0000
ring_n10p0.2s3,30,168,15,optimal,4,0.154,0.0000
ring_n10p0.2s4,42,337,21,optimal,4,0.652,0.0000
ring_n10p0.2s5,44,355,22,optimal,5,0.819,0.0000
ring_n10p0.3s1,38,270,19,optimal,4,0.305,0.0000
ring_n10p0.3s2,54,540,27,optimal,5,1.639,0.0000
ring_n10p0.3s3,42,330,21,optimal,4,0.731,0.0000
ring_n10p0.3s4,52,519,26,optimal,5,1.388,0.0000
ring_n10p0.3s5,62,727,31,optimal,6,2.697,0.0000
ring_n10p0.4s1,56,593,28,optimal,5,1.607,0.0000
ring_n10p0.4s2,72,979,36,optimal,6,4.091,0.0000
ring_n10p0.4s3,60,688,30,optimal,5,2.651,0.0000
ring_n10p0.4s4,68,888,34,optimal,6,4.012,0.0000
ring_n10p0.4s5,82,1283,41,optimal,7,7.963,0.0000
ring_n10p0.5s1,76,1099,38,optimal,7,5.275,0.0000
ring_n10p0.5s2,94,1700,47,optimal,8,14.480,0.0000
ring_n10p0.5s3,78,1179,39,optimal,7,6.068,0.0000
ring_n10p0.5s4,76,1114,38,optimal,7,6.248,0.0000
ring_n10p0.5s5,92,1621,46,optimal,8,9.025,0.0000
ring_n10p0.6s1,98,1837,49,optimal,8,16.543,0.0000
ring_n10p0.6s2,106,2170,53,optimal,9,23.548,0.0000
ring_n10p0.6s3,102,2027,51,optimal,10,22.431,0.0000
ring_n10p0.6s4,104,2084,52,optimal,8,30.412,0.0000
ring_n10p0.6s5,102,2002,51,optimal,9,23.089,0.0000
ring_n10p0.7s1,122,2865,61,optimal,9,44.323,0.0000
ring_n10p0.7s2,138,3719,69,feasible,36,301.235,0.9324
ring_n10p0.7s3,130,3288,65,optimal,10,111.514,0.0000
ring_n10p0.7s4,132,3388,66,optimal,11,91.101,0.0000
ring_n10p0.7s5,114,2510,57,optimal,9,39.291,0.0000
ring_n10p0.8s1,146,4148,73,feasible,36,301.421,0.9583
ring_n10p0.8s2,152,4529,76,feasible,37,301.604,0.9600
ring_n10p0.8s3,144,4043,72,feasible,35,301.370,0.9569
ring_n10p0.8s4,146,4160,73,feasible,38,301.416,0.9173
ring_n10p0.8s5,138,3716,69,feasible,37,301.212,0.9440
ring_n10p0.9s1,162,5144,81,feasible,39,301.947,0.9621
ring_n10p0.9s2,164,5278,82,feasible,41,302.014,0.9657
ring_n10p0.9s3,166,5396,83,feasible,42,302.099,0.9666
ring_n10p0.9s4,164,5255,82,feasible,42,302.040,0.9708
ring_n10p0.9s5,166,5414,83,feasible,41,302.064,0.9642
ring_n10p1.0s1,180,6360,90,feasible,39,302.696,0.9650
ring_n10p1.0s2,180,6360,90,feasible,39,302.655,0.9650
ring_n10p1.0s3,180,6360,90,feasible,39,302.680,0.9650
ring_n10p1.0s4,180,6360,90,feasible,39,302.688,0.9650
ring_n10p1.0s5,180,6360,90,feasible,39,302.678,0.9650
ring_n15p0.1s1,30,164,15,optimal,4,0.143,0.0000
ring_n15p0.1s2,38,268,19,optimal,4,0.311,0.0000
ring_n15p0.1s3,52,543,26,optimal,6,1.444,0.0000
ring_n15p0.1s4,62,757,31,optimal,8,2.918,0.0000
ring_n15p0.1s5,54,557,27,optimal,6,1.613,0.0000
ring_n15p0.2s1,74,1081,37,optimal,7,5.668,0.0000
ring_n15p0.2s2,100,1954,50,optimal,8,20.488,0.0000
ring_n15p0.2s3,90,1620,45,optimal,9,13.252,0.0000
ring_n15p0.2s4,94,1764,47,optimal,9,18.417,0.0000
ring_n15p0.2s5,106,2198,53,optimal,10,25.766,0.0000
ring_n15p0.3s1,116,2681,58,optimal,11,50.288,0.0000
ring_n15p0.3s2,146,4251,73,feasible,44,301.469,0.9545
ring_n15p0.3s3,130,3365,65,optimal,13,109.106,0.0000
ring_n15p0.3s4,140,3900,70,feasible,39,301.282,0.9354
ring_n15p0.3s5,150,4450,75,feasible,34,301.532,0.9560
ring_n15p0.4s1,162,5262,81,feasible,46,301.963,0.9523
ring_n15p0.4s2,188,7005,94,feasible,47,303.070,0.9745
ring_n15p0.4s3,164,5402,82,feasible,41,302.045,0.9697
ring_n15p0.4s4,180,6459,90,feasible,50,302.721,0.9749
ring_n15p0.4s5,196,7663,98,feasible,45,303.519,0.9675
ring_n15p0.5s1,208,8656,104,feasible,58,304.209,0.9655
ring_n15p0.5s2,226,10167,113,feasible,52,305.394,0.9716
ring_n15p0.5s3,208,8724,104,feasible,51,304.262,0.9757
ring_n15p0.5s4,210,8869,105,feasible,55,304.412,0.9727
ring_n15p0.5s5,226,10168,113,feasible,53,305.266,0.9722
ring_n15p0.6s1,250,12442,125,feasible,67,307.209,0.9925
ring_n15p0.6s2,258,13266,129,feasible,63,308.455,0.9921
ring_n15p0.6s3,258,13400,129,feasible,63,308.162,0.9921
ring_n15p0.6s4,260,13594,130,feasible,66,308.329,0.9924
ring_n15p0.6s5,252,12682,126,feasible,60,307.500,0.9917
ring_n15p0.7s1,288,16601,144,feasible,75,311.265,0.9933
ring_n15p0.7s2,330,21756,165,feasible,80,316.532,
ring_n15p0.7s3,306,18821,153,feasible,76,313.648,0.9934
ring_n15p0.7s4,310,19300,155,feasible,76,313.860,0.9934
ring_n15p0.7s5,282,15985,141,feasible,66,310.687,0.9812
ring_n15p0.8s1,336,22658,168,feasible,84,318.122,
ring_n15p0.8s2,352,24773,176,timeout,,308.756,
ring_n15p0.8s3,338,22942,169,timeout,,289.310,
ring_n15p0.8s4,344,23812,172,timeout,,282.389,
ring_n15p0.8s5,328,21572,164,feasible,80,316.421,
ring_n15p0.9s1,370,27469,185,timeout,,323.499,
ring_n15p0.9s2,386,29922,193,timeout,,327.485,
ring_n15p0.9s3,380,29067,190,timeout,,326.035,
ring_n15p0.9s4,380,29043,190,timeout,,325.341,
ring_n15p0.9s5,392,30925,196,timeout,,329.759,
ring_n15p1.0s1,420,35490,210,timeout,,335.044,
ring_n15p1.0s2,420,35490,210,timeout,,334.707,
ring_n15p1.0s3,420,35490,210,timeout,,334.950,
ring_n15p1.0s4,420,35490,210,timeout,,334.473,
ring_n15p1.0s5,420,35490,210,timeout,,334.752,
ring_n20p0.1s1,56,626,28,optimal,7,1.985,0.0000
ring_n20p0.1s2,80,1248,40,optimal,9,5.072,0.0000
ring_n20p0.1s3,90,1590,45,optimal,8,14.495,0.0000
ring_n20p0.1s4,92,1696,46,optimal,11,17.976,0.0000
ring_n20p0.1s5,74,1095,37,optimal,8,3.717,0.0000
ring_n20p0.2s1,128,3281,64,optimal,10,154.717,0.0000
ring_n20p0.2s2,172,5954,86,feasible,50,302.330,0.9600
ring_n20p0.2s3,162,5212,81,feasible,44,301.936,0.9702
ring_n20p0.2s4,152,4651,76,feasible,35,301.657,0.9567
ring_n20p0.2s5,162,5368,81,feasible,36,301.995,0.9589
ring_n20p0.3s1,218,9509,109,feasible,61,304.772,0.9918
ring_n20p0.3s2,246,12308,123,feasible,69,307.052,0.9928
ring_n20p0.3s3,234,10951,117,feasible,65,306.099,0.9923
ring_n20p0.3s4,222,10058,111,feasible,51,305.172,0.9804
ring_n20p0.3s5,240,11802,120,feasible,53,306.597,0.9724
ring_n20p0.4s1,306,18772,153,feasible,87,313.559,0.9943
ring_n20p0.4s2,318,20693,159,feasible,82,315.727,
ring_n20p0.4s3,296,17570,148,feasible,79,312.222,0.9937
ring_n20p0.4s4,292,17305,146,feasible,71,312.113,0.9930
ring_n20p0.4s5,330,22257,165,feasible,72,317.132,0.9861
ring_n20p0.5s1,392,30924,196,timeout,,328.005,
ring_n20p0.5s2,396,32151,198,timeout,,330.096,
ring_n20p0.5s3,380,29061,190,timeout,,325.320,
ring_n20p0.5s4,358,26018,179,timeout,,325.730,
ring_n20p0.5s5,390,31090,195,timeout,,328.218,
ring_n20p0.6s1,458,42316,229,timeout,,345.739,
ring_n20p0.6s2,464,44107,232,timeout,,347.761,
ring_n20p0.6s3,456,41906,228,timeout,,344.432,
ring_n20p0.6s4,452,41530,226,timeout,,343.590,
ring_n20p0.6s5,440,39445,220,timeout,,341.024,
ring_n20p0.7s1,536,58142,268,timeout,,374.642,
nsf_p0.1_s1,16,16,12,optimal,2,0.033,0.0000
nsf_p0.1_s2,22,27,16,optimal,2,0.052,0.0000
nsf_p0.1_s3,29,40,23,optimal,3,0.136,0.0000
nsf_p0.1_s4,38,67,30,optimal,3,0.262,0.0000
nsf_p0.1_s5,27,30,20,optimal,2,0.097,0.0000
nsf_p0.2_s1,37,69,31,optimal,4,0.221,0.0000
nsf_p0.2_s2,52,128,44,optimal,4,0.474,0.0000
nsf_p0.2_s3,51,130,40,optimal,4,0.444,0.0000
nsf_p0.2_s4,57,176,40,optimal,4,0.533,0.0000
nsf_p0.2_s5,66,242,44,optimal,4,0.768,0.0000
nsf_p0.3_s1,63,220,49,optimal,5,0.938,0.0000
nsf_p0.3_s2,87,452,64,optimal,5,2.676,0.0000
nsf_p0.3_s3,80,366,58,optimal,6,1.808,0.0000
nsf_p0.3_s4,80,397,59,optimal,6,1.753,0.0000
nsf_p0.3_s5,85,363,63,optimal,5,1.674,0.0000
nsf_p0.4_s1,91,527,66,optimal,6,2.954,0.0000
nsf_p0.4_s2,112,739,82,optimal,7,16.221,0.0000
nsf_p0.4_s3,101,606,73,optimal,6,4.293,0.0000
nsf_p0.4_s4,99,559,76,optimal,7,3.150,0.0000
nsf_p0.4_s5,112,741,80,optimal,6,13.608,0.0000
nsf_p0.5_s1,124,999,87,optimal,8,24.729,0.0000
nsf_p0.5_s2,130,1017,99,optimal,8,49.687,0.0000
nsf_p0.5_s3,122,848,92,optimal,7,29.827,0.0000
nsf_p0.5_s4,118,803,89,optimal,7,27.922,0.0000
nsf_p0.5_s5,132,1071,93,optimal,7,39.100,0.0000
nsf_p0.6_s1,149,1475,107,optimal,9,279.656,0.0000
nsf_p0.6_s2,154,1409,113,optimal,9,90.059,0.0000
nsf_p0.6_s3,153,1371,112,optimal,9,104.446,0.0000
nsf_p0.6_s4,161,1613,113,optimal,9,193.656,0.0000
nsf_p0.6_s5,139,1184,103,optimal,9,79.621,0.0000
nsf_p0.7_s1,180,2117,124,feasible,11,304.850,0.5323
nsf_p0.7_s2,202,2670,144,feasible,12,301.974,0.1667
nsf_p0.7_s3,177,1925,131,feasible,11,301.320,0.5769
nsf_p0.7_s4,187,2151,135,feasible,11,301.545,0.4573
nsf_p0.7_s5,159,1606,118,feasible,10,301.140,0.3934
nsf_p0.8_s1,201,2549,147,feasible,12,301.972,0.7058
nsf_p0.8_s2,221,3115,153,feasible,13,302.500,0.6889
nsf_p0.8_s3,208,2692,147,feasible,12,304.226,0.6645
nsf_p0.8_s4,209,2821,147,feasible,12,308.233,0.7328
nsf_p0.8_s5,184,2014,139,feasible,11,301.719,0.5336
nsf_p0.9_s1,216,2921,161,optimal,12,177.221,0.0000
nsf_p0.9_s2,231,3324,167,feasible,14,302.966,0.8003
nsf_p0.9_s3,217,2849,166,feasible,12,302.551,0.6878
nsf_p0.9_s4,226,3118,165,feasible,16,302.739,0.7476
nsf_p0.9_s5,234,3379,169,feasible,13,310.672,0.7421
nsf_p1.0_s1,250,3948,182,feasible,15,303.754,0.8172
nsf_p1.0_s2,251,3973,182,feasible,14,303.743,0.7925
nsf_p1.0_s3,238,3419,182,feasible,14,303.258,0.7697
nsf_p1.0_s4,257,4261,182,feasible,14,304.050,0.7866
nsf_p1.0_s5,248,3827,182,feasible,14,303.669,0.7133
n20p5t2s4,20,94,10,optimal,3,0.090,0.0000
n20p5t2s3,20,96,10,optimal,3,0.089,0.0000
n20p5t2s5,20,102,10,optimal,3,0.098,0.0000
n20p5t2s2,20,100,10,optimal,3,0.099,0.0000
n20p5t2s1,20,98,10,optimal,3,0.105,0.0000
n40p5t2s3,40,387,20,optimal,4,2.144,0.0000
n40p5t2s1,40,402,20,optimal,4,2.398,0.0000
n40p5t2s2,40,398,20,optimal,4,2.439,0.0000
n40p5t2s4,40,397,20,optimal,4,3.114,0.0000
n40p5t2s5,40,420,20,optimal,4,4.333,0.0000
n60p5t2s3,60,881,30,optimal,5,81.280,0.0000
n60p5t2s1,60,909,30,optimal,5,82.195,0.0000
n60p5t2s2,60,872,30,optimal,5,99.041,0.0000
n60p5t2s4,60,884,30,optimal,5,107.810,0.0000
n60p5t2s5,60,907,30,optimal,5,114.177,0.0000
n70p5t2s2,70,1189,35,feasible,6,300.523,0.3333
n70p5t2s1,70,1241,35,feasible,6,300.530,0.3333
n70p5t2s3,70,1200,35,feasible,6,300.516,0.3333
n70p5t2s4,70,1194,35,feasible,6,300.547,0.3333
n70p5t2s5,70,1228,35,feasible,6,300.525,0.3333
n80p5t2s1,80,1592,40,feasible,7,300.767,0.4286
n80p5t2s2,80,1547,40,feasible,7,300.758,0.4286
n80p5t2s3,80,1589,40,feasible,7,300.693,0.4286
n80p5t2s4,80,1580,40,feasible,7,300.743,0.4286
n80p5t2s5,80,1616,40,feasible,7,300.796,0.4286
n90p1t2s1,90,404,45,optimal,3,6.759,0.0000
n90p1t2s2,90,402,45,optimal,3,8.528,0.0000
n90p1t2s3,90,427,45,optimal,3,6.613,0.0000
n90p1t2s4,90,391,45,optimal,2,7.119,0.0000
n90p2t2s4,90,777,45,optimal,4,208.062,0.0000
n90p2t2s1,90,786,45,optimal,4,234.209,0.0000
n90p3t2s1,90,1183,45,feasible,5,300.642,0.4000
n90p3t2s2,90,1202,45,feasible,5,300.636,0.4000
n90p3t2s4,90,1171,45,feasible,5,300.627,0.4000
n90p3t2s3,90,1246,45,feasible,5,300.643,0.4000
n90p3t2s5,90,1236,45,feasible,5,300.637,0.3867
n90p1t2s5,90,444,45,optimal,3,5.672,0.0000
n90p2t2s2,90,801,45,optimal,3,8.110,0.0000
n90p2t2s5,90,827,45,optimal,4,85.110,0.0000
n90p2t2s3,90,838,45,optimal,4,165.416,0.0000
n90p8t2s1,90,3257,45,feasible,16,300.632,0.6250
n90p8t2s2,90,3188,45,feasible,16,300.815,0.6250
n90p8t2s3,90,3274,45,feasible,18,300.832,0.6111
n90p8t2s4,90,3213,45,feasible,16,300.804,0.6250
n90p8t2s5,90,3226,45,feasible,17,300.839,0.6471
n90p9t2s1,90,3631,45,feasible,22,301.717,0.5909
n90p9t2s2,90,3614,45,feasible,23,302.640,0.6087
n90p9t2s3,90,3615,45,feasible,23,302.654,0.6087
n90p9t2s4,90,3619,45,feasible,21,301.663,0.5714
n90p9t2s5,90,3634,45,feasible,23,302.629,0.6087
n100p5t2s1,100,2494,50,feasible,9,301.521,0.6667
n100p5t2s2,100,2428,50,feasible,9,301.516,0.6667
n100p5t2s5,100,2500,50,feasible,9,301.526,0.6667
n100p5t2s4,100,2442,50,feasible,8,301.543,0.6250
n100p5t2s3,100,2513,50,feasible,9,301.644,0.5556
n120p5t2s2,120,3544,60,feasible,11,302.725,0.6364
n120p5t2s5,120,3623,60,feasible,11,302.603,0.7273
n120p5t2s4,120,3536,60,feasible,11,302.585,0.7273
n120p5t2s1,120,3593,60,feasible,11,302.636,0.7273
n120p5t2s3,120,3613,60,feasible,12,302.822,0.7500